aqi,co,datetime,no2,o3,pm10,pm25,so2,timestamp_local,timestamp_utc,ts
157,177.0,2023-11-17:09,5.0,112.0,61.0,61.0,31.0,2023-11-17T16:00:00,2023-11-17T09:00:00,1700211600
104,185.7,2023-11-17:08,4.0,125.7,37.0,37.0,37.3,2023-11-17T15:00:00,2023-11-17T08:00:00,1700208000
128,194.3,2023-11-17:07,3.0,139.3,45.7,45.67,43.7,2023-11-17T14:00:00,2023-11-17T07:00:00,1700204400
107,203.0,2023-11-17:06,2.0,153.0,38.0,38.0,50.0,2023-11-17T13:00:00,2023-11-17T06:00:00,1700200800
137,223.7,2023-11-17:05,2.7,149.3,49.0,49.0,57.0,2023-11-17T12:00:00,2023-11-17T05:00:00,1700197200
142,244.3,2023-11-17:04,3.3,145.7,51.0,51.0,64.0,2023-11-17T11:00:00,2023-11-17T04:00:00,1700193600
152,265.0,2023-11-17:03,4.0,142.0,57.0,57.0,71.0,2023-11-17T10:00:00,2023-11-17T03:00:00,1700190000
156,419.0,2023-11-17:02,9.7,117.3,60.0,60.0,73.0,2023-11-17T09:00:00,2023-11-17T02:00:00,1700186400
157,573.0,2023-11-17:01,15.3,92.7,61.0,61.0,75.0,2023-11-17T08:00:00,2023-11-17T01:00:00,1700182800
152,727.0,2023-11-17:00,21.0,68.0,82.0,57.0,77.0,2023-11-17T07:00:00,2023-11-17T00:00:00,1700179200
153,782.0,2023-11-16:23,24.3,55.3,58.0,58.0,75.7,2023-11-17T06:00:00,2023-11-16T23:00:00,1700175600
155,837.0,2023-11-16:22,27.7,42.7,59.0,59.0,74.3,2023-11-17T05:00:00,2023-11-16T22:00:00,1700172000
159,892.0,2023-11-16:21,31.0,30.0,62.0,62.0,73.0,2023-11-17T04:00:00,2023-11-16T21:00:00,1700168400
151,877.3,2023-11-16:20,31.0,31.7,56.0,56.0,70.7,2023-11-17T03:00:00,2023-11-16T20:00:00,1700164800
148,862.7,2023-11-16:19,31.0,33.3,53.0,53.0,68.3,2023-11-17T02:00:00,2023-11-16T19:00:00,1700161200
148,848.0,2023-11-16:18,31.0,35.0,53.0,53.0,66.0,2023-11-17T01:00:00,2023-11-16T18:00:00,1700157600
148,806.7,2023-11-16:17,30.3,41.0,53.0,53.0,68.0,2023-11-17T00:00:00,2023-11-16T17:00:00,1700154000
148,765.3,2023-11-16:16,29.7,47.0,53.0,53.0,70.0,2023-11-16T23:00:00,2023-11-16T16:00:00,1700150400
148,724.0,2023-11-16:15,29.0,53.0,53.0,53.0,72.0,2023-11-16T22:00:00,2023-11-16T15:00:00,1700146800
148,636.3,2023-11-16:14,26.0,61.3,53.0,53.0,66.0,2023-11-16T21:00:00,2023-11-16T14:00:00,1700143200
137,548.7,2023-11-16:13,23.0,69.7,49.0,49.0,60.0,2023-11-16T20:00:00,2023-11-16T13:00:00,1700139600
104,461.0,2023-11-16:12,20.0,78.0,37.0,37.0,54.0,2023-11-16T19:00:00,2023-11-16T12:00:00,1700136000
99,371.3,2023-11-16:11,14.7,94.3,39.0,34.67,49.3,2023-11-16T18:00:00,2023-11-16T11:00:00,1700132400
94,281.7,2023-11-16:10,9.3,110.7,41.0,32.33,44.7,2023-11-16T17:00:00,2023-11-16T10:00:00,1700128800
89,192.0,2023-11-16:09,4.0,127.0,43.0,30.0,40.0,2023-11-16T16:00:00,2023-11-16T09:00:00,1700125200
112,209.0,2023-11-16:08,3.7,140.0,40.0,40.0,42.7,2023-11-16T15:00:00,2023-11-16T08:00:00,1700121600
139,226.0,2023-11-16:07,3.3,153.0,50.0,50.0,45.3,2023-11-16T14:00:00,2023-11-16T07:00:00,1700118000
