aqi,co,no2,o3,pm10,pm25,so2,timestamp_utc
102,166.9,6.0,134.0,36.0,36.0,43.0,2023-11-23T09:00:00.000Z
132,246.3,14.7,110.3,57.3,47.33,54.0,2023-11-23T10:00:00.000Z
154,325.6,23.3,86.7,78.7,58.67,65.0,2023-11-23T11:00:00.000Z
169,405.0,32.0,63.0,100.0,70.0,76.0,2023-11-23T12:00:00.000Z
181,501.9,38.0,54.0,112.7,78.67,83.0,2023-11-23T13:00:00.000Z
192,598.8,44.0,45.0,125.3,87.33,90.0,2023-11-23T14:00:00.000Z
204,695.7,50.0,36.0,138.0,96.0,97.0,2023-11-23T15:00:00.000Z
202,701.7,46.7,34.0,135.7,94.67,88.7,2023-11-23T16:00:00.000Z
200,707.7,43.3,32.0,133.3,93.33,80.3,2023-11-23T17:00:00.000Z
199,713.7,40.0,30.0,131.0,92.0,72.0,2023-11-23T18:00:00.000Z
192,694.7,36.7,28.3,123.3,87.0,68.7,2023-11-23T19:00:00.000Z
179,675.6,33.3,26.7,84.0,77.0,65.3,2023-11-23T20:00:00.000Z
179,656.6,30.0,25.0,108.0,77.0,62.0,2023-11-23T21:00:00.000Z
172,640.4,29.3,41.7,106.0,72.0,67.0,2023-11-23T22:00:00.000Z
169,624.3,28.7,58.3,124.0,70.0,72.0,2023-11-23T23:00:00.000Z
171,608.1,28.0,75.0,112.0,71.0,77.0,2023-11-24T00:00:00.000Z
172,492.4,21.0,102.3,124.0,71.67,86.0,2023-11-24T01:00:00.000Z
177,376.6,14.0,129.7,112.0,76.0,95.0,2023-11-24T02:00:00.000Z
173,260.9,7.0,157.0,148.0,73.0,104.0,2023-11-24T03:00:00.000Z
165,226.0,6.0,150.0,118.0,67.0,85.7,2023-11-24T04:00:00.000Z
183,191.2,5.0,143.0,130.0,80.33,67.3,2023-11-24T05:00:00.000Z
188,156.4,4.0,136.0,121.0,84.0,49.0,2023-11-24T06:00:00.000Z
180,149.2,4.0,132.7,113.0,78.33,43.3,2023-11-24T07:00:00.000Z
173,142.0,4.0,129.3,105.0,72.67,37.7,2023-11-24T08:00:00.000Z
165,134.8,4.0,126.0,97.0,67.0,32.0,2023-11-24T09:00:00.000Z
123,152.5,7.3,107.3,44.0,44.0,33.3,2023-11-24T10:00:00.000Z
161,170.2,10.7,88.7,64.0,64.0,34.7,2023-11-24T11:00:00.000Z
151,187.9,14.0,70.0,72.0,56.0,36.0,2023-11-24T12:00:00.000Z
148,231.9,17.3,61.3,64.0,53.33,43.3,2023-11-24T13:00:00.000Z
80,275.8,20.7,52.7,26.0,26.0,50.7,2023-11-24T14:00:00.000Z
134,319.8,24.0,44.0,48.0,48.0,58.0,2023-11-24T15:00:00.000Z
153,343.9,23.7,41.7,60.0,58.0,58.0,2023-11-24T16:00:00.000Z
155,368.1,23.3,39.3,60.0,59.0,58.0,2023-11-24T17:00:00.000Z
150,392.2,23.0,37.0,60.0,54.0,58.0,2023-11-24T18:00:00.000Z
147,385.0,21.0,38.0,67.3,52.67,57.7,2023-11-24T19:00:00.000Z
152,377.8,19.0,39.0,78.0,57.0,57.3,2023-11-24T20:00:00.000Z
139,370.6,17.0,40.0,82.0,50.0,57.0,2023-11-24T21:00:00.000Z
139,371.2,18.3,42.0,54.0,50.0,64.7,2023-11-24T22:00:00.000Z
139,371.8,19.7,44.0,66.0,50.0,72.3,2023-11-24T23:00:00.000Z
139,372.3,21.0,46.0,54.0,50.0,80.0,2023-11-25T00:00:00.000Z
153,318.6,17.0,69.0,58.0,58.0,82.0,2023-11-25T01:00:00.000Z
147,265.0,13.0,92.0,54.0,52.67,84.0,2023-11-25T02:00:00.000Z
150,211.3,9.0,115.0,54.0,54.0,86.0,2023-11-25T03:00:00.000Z
164,181.3,7.3,114.3,76.0,66.0,74.3,2023-11-25T04:00:00.000Z
161,151.3,5.7,113.7,68.0,64.0,62.7,2023-11-25T05:00:00.000Z
118,121.4,4.0,113.0,61.0,42.0,51.0,2023-11-25T06:00:00.000Z
110,117.1,5.0,103.3,56.7,39.0,47.3,2023-11-25T07:00:00.000Z
102,112.8,6.0,93.7,52.3,36.0,43.7,2023-11-25T08:00:00.000Z
95,108.5,7.0,84.0,48.0,33.0,40.0,2023-11-25T09:00:00.000Z
54,211.1,17.3,74.0,14.0,14.0,56.0,2023-11-25T10:00:00.000Z
54,313.6,27.7,64.0,14.0,14.0,72.0,2023-11-25T11:00:00.000Z
153,416.1,38.0,54.0,79.0,55.0,88.0,2023-11-25T12:00:00.000Z
160,514.3,43.3,45.0,90.0,63.0,93.7,2023-11-25T13:00:00.000Z
171,612.6,48.7,36.0,101.0,71.0,99.3,2023-11-25T14:00:00.000Z
181,710.8,54.0,27.0,112.0,79.0,105.0,2023-11-25T15:00:00.000Z
95,718.8,51.7,25.7,33.0,33.0,101.0,2023-11-25T16:00:00.000Z
95,726.8,49.3,24.3,33.0,33.0,97.0,2023-11-25T17:00:00.000Z
95,734.8,47.0,23.0,33.0,33.0,93.0,2023-11-25T18:00:00.000Z
102,718.2,41.7,21.7,48.0,36.0,84.0,2023-11-25T19:00:00.000Z
131,701.7,36.3,20.3,56.0,47.0,75.0,2023-11-25T20:00:00.000Z
145,685.1,31.0,19.0,73.0,52.0,66.0,2023-11-25T21:00:00.000Z
121,683.4,29.3,40.7,43.0,43.0,68.0,2023-11-25T22:00:00.000Z
104,681.6,27.7,62.3,40.0,37.0,70.0,2023-11-25T23:00:00.000Z
107,679.9,26.0,84.0,108.0,38.0,72.0,2023-11-26T00:00:00.000Z
157,546.2,20.0,117.3,124.0,61.0,85.7,2023-11-26T01:00:00.000Z
163,412.6,14.0,150.7,120.0,65.0,99.3,2023-11-26T02:00:00.000Z
137,279.0,8.0,184.0,70.0,49.0,113.0,2023-11-26T03:00:00.000Z
156,256.8,6.7,201.0,100.0,60.0,105.3,2023-11-26T04:00:00.000Z
129,234.6,5.3,218.0,78.0,46.0,97.7,2023-11-26T05:00:00.000Z
122,212.4,4.0,235.0,54.0,38.0,90.0,2023-11-26T06:00:00.000Z
122,212.2,4.3,233.0,58.0,40.0,87.0,2023-11-26T07:00:00.000Z
147,212.0,4.7,231.0,75.3,52.67,84.0,2023-11-26T08:00:00.000Z
