jam_id,type,level,severity,start_location,end_location,speed_kmh,length_meters,delay_seconds,block_alert_id,block_alert_type,block_alert_description,block_alert_update_datetime_utc,block_start_datetime_utc,timestamp_utc,update_datetime_utc,country,city,street
703518924,NONE,3,5,,,12.86,2115,369,,,,,,2023-11-26T23:54:09.709Z,2023-11-26T23:59:07.710Z,ID,Tangerang,Raden Fatah
703283548,NONE,4,5,,,2.2,243,362,,,,,,2023-11-26T23:50:27.839Z,2023-11-26T23:59:09.820Z,ID,Tangerang Selatan,
702353670,NONE,1,5,Jakarta Selatan,Jakarta Selatan,48.31,7796,212,,,,,,2023-11-26T23:33:04.470Z,2023-11-26T23:59:07.710Z,ID,Jakarta Selatan,Tol Lingkar Luar (Ulujami-TMII)
703721766,NONE,2,5,,,12.27,819,126,,,,,,2023-11-26T23:57:53.677Z,2023-11-26T23:59:08.133Z,ID,Jakarta Barat,Duri Kosambi
703513996,NONE,2,5,,,9.68,437,78,,,,,,2023-11-26T23:54:09.848Z,2023-11-26T23:59:07.703Z,ID,Jakarta Selatan,Cilandak Tengah
703704298,NONE,2,5,,,13.64,864,104,,,,,,2023-11-26T23:57:53.407Z,2023-11-26T23:59:07.794Z,ID,Bekasi,Bintara Raya
702145988,NONE,3,5,,,5.49,192,101,,,,,,2023-11-26T23:29:22.913Z,2023-11-26T23:59:08.747Z,ID,Tangerang,Haji Maulana Hasanudin
701390266,NONE,3,5,,,11.37,698,168,,,,,,2023-11-26T23:14:34.556Z,2023-11-26T23:59:08.922Z,ID,Jakarta Selatan,N6 Metro Pondok Indah
703646958,NONE,2,5,,,13.07,676,108,,,,,,2023-11-26T23:56:38.599Z,2023-11-26T23:59:07.711Z,ID,Jakarta Barat,Peta Selatan
548730962,NONE,5,5,,,0.0,21,0,116617329,ROAD_CLOSED_EVENT,Di Tutup,2023-10-27T00:54:28.428Z,2023-10-27T00:50:00.000Z,2023-11-25T02:55:50.615Z,2023-11-26T23:59:08.508Z,ID,Depok,
703497514,NONE,1,5,Jakarta Selatan,Jakarta Selatan,46.88,1600,50,,,,,,2023-11-26T23:54:10.517Z,2023-11-26T23:59:08.624Z,ID,Jakarta Selatan,Tol Kuningan-Semanggi
702796042,NONE,3,5,,,7.8,1306,476,,,,,,2023-11-26T23:41:44.463Z,2023-11-26T23:59:08.111Z,ID,Jakarta Selatan,Fatmawati
703777130,NONE,3,5,,,4.98,195,113,,,,,,2023-11-26T23:59:08.088Z,2023-11-26T23:59:08.088Z,ID,Jakarta Selatan,Bendi Raya
703066362,NONE,3,5,,,10.34,745,182,,,,,,2023-11-26T23:46:42.538Z,2023-11-26T23:59:08.109Z,ID,Jakarta Utara,Blvd Barat Kelapa Gading
702948726,NONE,3,5,,,13.37,1117,207,,,,,,2023-11-26T23:44:13.210Z,2023-11-26T23:59:07.944Z,ID,Tangerang Selatan,Letnan Soetopo
702277962,NONE,3,5,,,8.77,350,109,,,,,,2023-11-26T23:31:50.841Z,2023-11-26T23:59:08.527Z,ID,Tangerang Selatan,N6 Dewi Sartika
703286586,NONE,3,5,,,5.0,211,87,,,,,,2023-11-26T23:50:26.032Z,2023-11-26T23:59:08.013Z,ID,Jakarta Utara,Sunter Garden Blok D7
703441210,NONE,4,5,,,3.12,267,261,,,,,,2023-11-26T23:52:56.186Z,2023-11-26T23:59:09.330Z,ID,Jakarta Barat,Duri Kosambi
703302970,NONE,4,5,,,6.02,315,133,,,,,,2023-11-26T23:50:28.107Z,2023-11-26T23:59:10.059Z,ID,Jakarta Utara,Blvd Kelapa Gading
703646974,NONE,4,5,,,4.18,321,186,,,,,,2023-11-26T23:56:38.615Z,2023-11-26T23:59:07.711Z,ID,Tangerang Selatan,Puskesmas
1820907920,NONE,5,5,,,0.0,80,0,115920384,ROAD_CLOSED_EVENT,Perbaikan  ~ Akhir Nov,2023-11-19T03:27:38.799Z,2023-11-19T03:20:00.000Z,2023-11-19T03:29:52.970Z,2023-11-26T23:59:08.504Z,ID,Depok,Krukut Raya
548627482,NONE,5,5,,,0.0,7,0,1766523822,ROAD_CLOSED_EVENT,Konstruksi,2023-10-04T15:58:10.030Z,2023-10-04T15:57:00.000Z,2023-11-25T02:55:32.708Z,2023-11-26T23:59:07.987Z,ID,Gunung Putri,
702644608,NONE,3,5,Depok,Depok,18.2,1854,286,,,,,,2023-11-26T23:39:16.979Z,2023-11-26T23:59:09.300Z,ID,Depok,Tol Depok-Antasari
703283448,NONE,4,5,,,6.06,204,92,,,,,,2023-11-26T23:50:26.113Z,2023-11-26T23:59:08.047Z,ID,Jakarta Utara,HBR Motik
703299986,NONE,2,5,,,25.98,1810,111,,,,,,2023-11-26T23:50:26.027Z,2023-11-26T23:59:08.123Z,ID,Jakarta Selatan,TB Simatupang
703281464,SMALL,4,5,,,2.39,800,1109,,,,,,2023-11-26T23:50:26.141Z,2023-11-26T23:59:08.453Z,ID,Bekasi,Cipendawa Baru
703064386,NONE,4,5,,,5.09,173,62,,,,,,2023-11-26T23:46:42.350Z,2023-11-26T23:59:07.868Z,ID,Jakarta Selatan,Warung Jati Barat
703568314,NONE,3,5,,,9.03,405,111,,,,,,2023-11-26T23:55:24.448Z,2023-11-26T23:59:08.289Z,ID,Jakarta Selatan,Bangka Raya
701588848,NONE,2,5,Bekasi,Bekasi,40.71,4217,189,,,,,,2023-11-26T23:18:14.975Z,2023-11-26T23:59:07.715Z,ID,Bekasi,Tol Cikampek (Cikunir-Cawang)
701409702,NONE,3,5,,,14.88,1330,201,,,,,,2023-11-26T23:14:33.724Z,2023-11-26T23:59:07.738Z,ID,Jakarta Timur,N1 Jalan Raya Bekasi
703779256,NONE,3,5,,,5.39,191,77,,,,,,2023-11-26T23:59:07.756Z,2023-11-26T23:59:07.756Z,ID,Jakarta Selatan,Kedondong
703798616,NONE,2,5,,,8.97,392,78,,,,,,2023-11-26T23:59:08.155Z,2023-11-26T23:59:08.155Z,ID,Tangerang,Panglima Polim
703498600,NONE,4,5,,,3.34,356,336,,,,,,2023-11-26T23:54:09.538Z,2023-11-26T23:59:07.975Z,ID,Jakarta Pusat,Batu Tulis Raya
703718828,NONE,3,5,,,12.3,707,145,,,,,,2023-11-26T23:57:53.562Z,2023-11-26T23:59:07.983Z,ID,Tangerang Selatan,Pamulang Raya
703777136,NONE,3,5,,,11.12,676,140,,,,,,2023-11-26T23:59:08.395Z,2023-11-26T23:59:08.395Z,ID,Bekasi,Swatantra 5
644843338,NONE,5,5,,,0.0,190,0,1133291348,ROAD_CLOSED_EVENT,Konstruksi,2023-08-13T11:01:01.092Z,2023-01-04T07:19:00.000Z,2023-11-26T01:24:25.273Z,2023-11-26T23:59:09.938Z,ID,Jakarta Barat,Pintu Besar Selatan
549703798,NONE,5,5,,,0.0,210,0,90461108,ROAD_CLOSED_EVENT,Perbaikan ~ 12 Des,2023-11-17T03:44:05.052Z,2023-11-17T03:26:00.000Z,2023-11-25T03:12:11.633Z,2023-11-26T23:59:08.062Z,ID,Bekasi,Pangkalan 1
703703498,NONE,4,5,,,4.83,443,293,,,,,,2023-11-26T23:57:57.173Z,2023-11-26T23:59:11.750Z,ID,Tangerang Selatan,Ciater Raya
702986594,NONE,3,5,,,9.71,751,204,,,,,,2023-11-26T23:45:27.832Z,2023-11-26T23:59:07.850Z,ID,Tangerang Selatan,Bintaro Utama 3A
702019802,NONE,1,5,,,26.64,2206,111,,,,,,2023-11-26T23:26:54.294Z,2023-11-26T23:59:07.892Z,ID,Jakarta Timur,Otto Iskandardinata
701926606,NONE,3,5,,,7.29,392,152,,,,,,2023-11-26T23:25:40.217Z,2023-11-26T23:59:07.763Z,ID,Jakarta Timur,Dewi Sartika
701872600,NONE,3,5,,,9.86,580,162,,,,,,2023-11-26T23:24:27.785Z,2023-11-26T23:59:09.053Z,ID,Jakarta Pusat,Suryopranoto
702076146,SMALL,3,5,,,6.37,723,289,,,,,,2023-11-26T23:28:07.989Z,2023-11-26T23:59:07.756Z,ID,Tangerang,Sunan Giri
702986596,NONE,4,5,,,4.91,481,290,,,,,,2023-11-26T23:45:27.832Z,2023-11-26T23:59:07.834Z,ID,Bekasi,Jalan Kampung Sawah Raya
703701448,NONE,3,5,,,8.61,427,115,,,,,,2023-11-26T23:57:54.933Z,2023-11-26T23:59:09.459Z,ID,Jakarta Barat,Citra Garden 5
703777134,NONE,1,5,,,21.11,1154,76,,,,,,2023-11-26T23:59:07.979Z,2023-11-26T23:59:07.979Z,ID,Jakarta Selatan,Ciledug Raya
702401928,SMALL,3,5,,,7.77,528,176,,,,,,2023-11-26T23:34:18.967Z,2023-11-26T23:59:07.871Z,ID,Tangerang Selatan,Jalan Raya Puspiptek
1820907922,NONE,5,5,,,0.0,82,0,115919212,ROAD_CLOSED_EVENT,Perbaikan  ~ Akhir Nov,2023-11-19T03:27:39.176Z,2023-11-19T03:20:00.000Z,2023-11-19T03:29:52.987Z,2023-11-26T23:59:08.511Z,ID,Depok,Krukut Raya
702014938,NONE,3,5,,,7.49,385,140,,,,,,2023-11-26T23:26:53.933Z,2023-11-26T23:59:07.752Z,ID,Bekasi,N1 Jenderal Sudirman
703004120,NONE,2,5,,,6.94,275,87,,,,,,2023-11-26T23:45:28.641Z,2023-11-26T23:59:08.535Z,ID,Tangerang Selatan,
702796074,NONE,3,5,,,12.47,2699,514,,,,,,2023-11-26T23:41:45.081Z,2023-11-26T23:59:07.727Z,ID,Tangerang Selatan,Jalan Raya Ciputat-Muncul
703417602,NONE,3,5,,,15.76,700,95,,,,,,2023-11-26T23:52:56.130Z,2023-11-26T23:59:09.383Z,ID,Tangerang Selatan,Pahlawan Seribu
548680926,NONE,5,5,,,0.0,10,0,1766524323,ROAD_CLOSED_EVENT,Konstruksi,2023-10-04T15:58:10.205Z,2023-10-04T15:57:00.000Z,2023-11-25T02:55:33.986Z,2023-11-26T23:59:09.298Z,ID,Gunung Putri,
702002472,NONE,3,5,,,7.62,546,179,,,,,,2023-11-26T23:26:54.708Z,2023-11-26T23:59:08.008Z,ID,Bekasi,Kincan Raya
703720794,NONE,3,5,,,4.52,379,217,,,,,,2023-11-26T23:57:53.948Z,2023-11-26T23:59:08.674Z,ID,Jakarta Barat,Kedoya Pesing
703500482,NONE,3,5,,,9.91,471,122,,,,,,2023-11-26T23:54:09.447Z,2023-11-26T23:59:07.814Z,ID,Jakarta Timur,Basuki Rachmat
548695130,NONE,5,5,,,0.0,515,0,1823987913,ROAD_CLOSED_EVENT,,2023-10-10T08:26:56.416Z,2023-10-10T08:26:00.000Z,2023-11-25T02:55:44.178Z,2023-11-26T23:59:13.328Z,ID,Jakarta Timur,Akses Stasiun Zona E
1819100408,NONE,5,5,,,0.0,210,0,90461490,ROAD_CLOSED_EVENT,Perbaikan ~ 12 Des,2023-11-17T03:44:03.969Z,2023-11-17T03:26:00.000Z,2023-11-19T02:20:46.864Z,2023-11-26T23:59:09.663Z,ID,Gunung Putri,Pangkalan 1
688702792,NONE,5,5,,,0.0,63,0,1133273758,ROAD_CLOSED_EVENT,Konstruksi MRT,2023-08-13T11:00:31.112Z,2022-11-13T17:01:00.000Z,2023-11-26T18:54:49.483Z,2023-11-26T23:59:08.793Z,ID,Jakarta Pusat,
703568290,NONE,2,5,,,14.6,1033,149,,,,,,2023-11-26T23:55:23.962Z,2023-11-26T23:59:07.696Z,ID,Depok,Komjen Pol M Jasin
701194488,NONE,4,5,,,5.33,667,380,,,,,,2023-11-26T23:10:53.377Z,2023-11-26T23:59:09.525Z,ID,Tangerang Selatan,Pajajaran
703778084,NONE,2,5,,,19.04,1227,89,,,,,,2023-11-26T23:59:07.832Z,2023-11-26T23:59:07.832Z,ID,Jakarta Barat,Panjang Raya
703777142,NONE,2,5,,,14.69,703,95,,,,,,2023-11-26T23:59:08.412Z,2023-11-26T23:59:08.412Z,ID,Tangerang Selatan,Maruga Raya
701565428,NONE,4,5,,,1.37,329,772,,,,,,2023-11-26T23:18:15.651Z,2023-11-26T23:59:09.050Z,ID,Jakarta Barat,Kompleks DKI Joglo
1820937298,NONE,5,5,,,0.0,16,0,115919913,ROAD_CLOSED_EVENT,Perbaikan  ~ Akhir Nov,2023-11-19T03:27:39.007Z,2023-11-19T03:20:00.000Z,2023-11-19T03:29:53.044Z,2023-11-26T23:59:08.543Z,ID,Depok,Krukut Raya
548600850,NONE,5,5,,,0.0,32,0,1734942355,ROAD_CLOSED_EVENT,Di Tutup,2023-10-02T01:41:25.371Z,2023-10-02T01:39:00.000Z,2023-11-25T02:54:05.960Z,2023-11-26T23:59:09.426Z,ID,Jakarta Pusat,
90270078,NONE,5,5,,,0.0,8,0,108542179,ROAD_CLOSED_EVENT,Di tutup,2023-10-26T10:03:00.947Z,2023-10-26T10:00:00.000Z,2023-11-24T02:48:32.020Z,2023-11-26T23:59:09.220Z,ID,Jakarta Selatan,
703439230,NONE,3,5,,,11.0,443,83,,,,,,2023-11-26T23:52:56.242Z,2023-11-26T23:59:09.481Z,ID,Jakarta Timur,Pendidikan Raya
