jam_id,type,level,severity,start_location,end_location,speed_kmh,length_meters,delay_seconds,block_alert_id,block_alert_type,block_alert_description,block_alert_update_datetime_utc,block_start_datetime_utc,timestamp_utc,update_datetime_utc,country,city,street
656339542,NONE,2,5,,,15.94,724,101,,,,,,2023-11-26T08:26:19.928Z,2023-11-26T09:06:10.054Z,ID,Tangerang Selatan,N6 RE Martadinata
657208076,NONE,4,5,,,1.79,183,323,,,,,,2023-11-26T09:00:53.952Z,2023-11-26T09:06:12.530Z,ID,Jakarta Pusat,Kebon Kacang 9
657263496,NONE,2,5,,,13.27,464,66,,,,,,2023-11-26T09:03:35.904Z,2023-11-26T09:06:14.691Z,ID,Depok,Kol (Pol) Pranoto
548646298,NONE,5,5,Depok,Depok,0.0,320,0,1725643606,ROAD_CLOSED_EVENT,,2023-09-30T23:51:41.432Z,2023-09-30T23:51:00.000Z,2023-11-25T02:55:33.128Z,2023-11-26T09:06:11.659Z,ID,Depok,Tol Serpong-Cinere
657257444,NONE,2,5,,,12.44,511,81,,,,,,2023-11-26T09:03:31.538Z,2023-11-26T09:06:10.409Z,ID,Bekasi,Jati Makmur
657286978,NONE,4,5,,,3.13,188,159,,,,,,2023-11-26T09:03:33.196Z,2023-11-26T09:06:12.607Z,ID,Jakarta Utara,Luar Batang 2
656591782,NONE,4,5,,,7.19,684,283,,,,,,2023-11-26T08:35:41.038Z,2023-11-26T09:06:11.537Z,ID,Jakarta Timur,Jalan Raya Bogor
548662306,NONE,5,5,,,0.0,7,0,129594323,ROAD_CLOSED_EVENT,Di Tutup,2023-10-28T03:53:43.388Z,2023-10-28T03:51:00.000Z,2023-11-25T02:55:32.913Z,2023-11-26T09:06:10.388Z,ID,Jakarta Utara,
652734120,NONE,4,5,,,3.82,607,484,,,,,,2023-11-26T05:38:49.019Z,2023-11-26T09:06:10.398Z,ID,Depok,Bungur Raya
657010544,NONE,3,5,,,11.4,577,118,,,,,,2023-11-26T08:54:15.585Z,2023-11-26T09:06:10.930Z,ID,Jakarta Selatan,Fatmawati
657189432,NONE,3,5,,,9.39,494,125,,,,,,2023-11-26T09:00:52.280Z,2023-11-26T09:06:10.272Z,ID,Tangerang Selatan,Merpati
657200104,NONE,2,5,,,14.23,519,62,,,,,,2023-11-26T09:02:12.853Z,2023-11-26T09:06:11.592Z,ID,Jakarta Pusat,Garuda
657022770,NONE,1,5,,,19.31,1018,77,,,,,,2023-11-26T08:52:54.940Z,2023-11-26T09:06:10.399Z,ID,Tangerang Selatan,Pahlawan
657323994,NONE,1,5,,,26.79,1419,67,,,,,,2023-11-26T09:04:51.749Z,2023-11-26T09:06:11.003Z,ID,Jakarta Barat,Syekh Junaid Al Batawi
1646800690,NONE,5,5,,,0.0,52,0,127883881,ROAD_CLOSED_EVENT,Di tutup,2023-11-20T08:59:36.259Z,2023-11-20T08:56:00.000Z,2023-11-20T09:01:58.980Z,2023-11-26T09:06:14.307Z,ID,Jakarta Timur,Cipinang Indah 1
650132206,NONE,4,5,,,7.71,907,352,,,,,,2023-11-26T03:58:16.721Z,2023-11-26T09:06:10.836Z,ID,Jakarta Barat,Tomang Raya
655494084,NONE,4,5,,,3.13,187,195,,,,,,2023-11-26T07:47:42.959Z,2023-11-26T09:06:11.495Z,ID,Jakarta Selatan,TB Simatupang
657202160,NONE,3,5,,,6.6,427,177,,,,,,2023-11-26T09:00:51.602Z,2023-11-26T09:06:10.322Z,ID,Tangerang Selatan,WR Supratman
657220526,NONE,2,5,,,10.61,413,78,,,,,,2023-11-26T09:02:12.259Z,2023-11-26T09:06:10.511Z,ID,Jakarta Pusat,Rawa Selatan 4
655847298,NONE,3,5,,,13.28,1374,248,,,,,,2023-11-26T08:03:41.365Z,2023-11-26T09:06:10.266Z,ID,Jakarta Timur,N1 Jalan Raya Bekasi
657183600,NONE,3,5,,,11.06,550,117,,,,,,2023-11-26T09:00:53.294Z,2023-11-26T09:06:11.714Z,ID,Bekasi,Jakasetia
657344256,NONE,4,5,,,4.15,356,245,,,,,,2023-11-26T09:06:10.552Z,2023-11-26T09:06:10.552Z,ID,Tangerang Selatan,WR Supratman
657320574,NONE,2,5,,,17.03,994,95,,,,,,2023-11-26T09:06:10.293Z,2023-11-26T09:06:10.293Z,ID,Jakarta Barat,Meruya Selatan
657189422,NONE,4,5,,,5.97,292,119,,,,,,2023-11-26T09:00:52.263Z,2023-11-26T09:06:10.539Z,ID,Jakarta Pusat,Kembang 5
656536114,NONE,2,5,,,14.63,1253,159,,,,,,2023-11-26T08:34:19.717Z,2023-11-26T09:06:11.012Z,ID,Jakarta Barat,Arjuna Utara
656958072,NONE,3,5,,,6.96,313,125,,,,,,2023-11-26T08:55:35.880Z,2023-11-26T09:06:11.866Z,ID,Tangerang Selatan,Jalan Raya Lebak Bulus PDK
657077046,NONE,2,5,,,6.32,217,80,,,,,,2023-11-26T08:55:35.969Z,2023-11-26T09:06:11.625Z,ID,Jakarta Selatan,Sirsak
1820907922,NONE,5,5,,,0.0,82,0,115919212,ROAD_CLOSED_EVENT,Perbaikan  ~ Akhir Nov,2023-11-19T03:27:39.176Z,2023-11-19T03:20:00.000Z,2023-11-19T03:29:52.987Z,2023-11-26T09:06:11.581Z,ID,Depok,Krukut Raya
657115022,NONE,2,5,,,5.45,259,84,,,,,,2023-11-26T08:56:55.734Z,2023-11-26T09:06:11.781Z,ID,Bekasi,Bina Lontar
657288048,NONE,4,5,,,4.23,181,104,,,,,,2023-11-26T09:03:33.020Z,2023-11-26T09:06:13.303Z,ID,Jakarta Selatan,Haji Abdul Majid
657055528,NONE,2,5,,,20.72,750,79,,,,,,2023-11-26T08:55:36.397Z,2023-11-26T09:06:11.965Z,ID,Jakarta Selatan,N6 Metro Pondok Indah
657344268,NONE,2,5,,,15.69,1232,154,,,,,,2023-11-26T09:06:10.589Z,2023-11-26T09:06:10.589Z,ID,Jakarta Selatan,RC Veteran
656957256,NONE,2,5,,,13.83,503,70,,,,,,2023-11-26T08:51:36.051Z,2023-11-26T09:06:11.433Z,ID,Depok,Haji Usman
657183586,NONE,2,5,,,16.57,833,95,,,,,,2023-11-26T09:00:51.743Z,2023-11-26T09:06:10.295Z,ID,Jakarta Barat,Panjang Raya
655975194,NONE,5,5,,,0.0,99,0,231921145,ROAD_CLOSED_EVENT,Perbaikan Jembatan ~ Akhir Nov,2023-11-07T09:28:04.766Z,2023-11-07T09:25:00.000Z,2023-11-10T16:23:13.283Z,2023-11-26T09:06:13.173Z,ID,Tangerang Selatan,AMD 15-16 Raya
656791382,NONE,1,5,,,22.55,1209,87,,,,,,2023-11-26T08:44:56.202Z,2023-11-26T09:06:10.595Z,ID,Jakarta Barat,Lingkar Luar Barat
656503758,NONE,2,5,,,14.22,619,76,,,,,,2023-11-26T08:31:40.493Z,2023-11-26T09:06:11.249Z,ID,Jakarta Pusat,Cempaka Putih Raya
657111976,NONE,3,5,,,4.36,196,120,,,,,,2023-11-26T08:56:55.016Z,2023-11-26T09:06:11.961Z,ID,Jakarta Utara,Arah Tj Priok/Kemayoran/Ancol (Lewat Jalan Tol)
657282046,NONE,2,5,,,10.48,488,85,,,,,,2023-11-26T09:03:31.921Z,2023-11-26T09:06:10.595Z,ID,Jakarta Selatan,Tebet Raya
548725826,NONE,5,5,,,0.0,8,0,129597914,ROAD_CLOSED_EVENT,Di Tutup,2023-10-28T03:54:57.978Z,2023-10-28T03:51:00.000Z,2023-11-25T02:55:42.926Z,2023-11-26T09:06:12.315Z,ID,Jakarta Utara,
657020794,NONE,1,5,,,21.31,1161,68,,,,,,2023-11-26T08:52:55.494Z,2023-11-26T09:06:10.626Z,ID,Cileungsi,Narogong Raya
657151806,NONE,4,5,,,4.23,157,116,,,,,,2023-11-26T08:58:13.378Z,2023-11-26T09:06:10.284Z,ID,Bekasi,Arah Kranji Bekasi Kota
656026144,NONE,3,5,,,15.39,1241,187,,,,,,2023-11-26T08:11:41.388Z,2023-11-26T09:06:10.056Z,ID,Tangerang Selatan,N6 Ir H Juanda
657151510,NONE,4,5,,,5.46,283,159,,,,,,2023-11-26T08:59:32.754Z,2023-11-26T09:06:10.555Z,ID,Jakarta Selatan,Pangeran Antasari
657242076,NONE,3,5,,,5.51,207,109,,,,,,2023-11-26T09:02:13.745Z,2023-11-26T09:06:12.967Z,ID,Jakarta Selatan,Panglima Polim 9
657091402,NONE,2,5,,,14.93,859,121,,,,,,2023-11-26T08:56:55.350Z,2023-11-26T09:06:11.345Z,ID,Tangerang,KH Hasyim Ashari
1820891224,NONE,5,5,,,0.0,80,0,115920286,ROAD_CLOSED_EVENT,Perbaikan  ~ Akhir Nov,2023-11-19T03:27:38.882Z,2023-11-19T03:20:00.000Z,2023-11-19T03:29:53.268Z,2023-11-26T09:06:11.795Z,ID,Depok,Krukut Raya
1820907916,NONE,5,5,,,0.0,72,0,115918531,ROAD_CLOSED_EVENT,Perbaikan  ~ Akhir Nov,2023-11-19T03:27:39.257Z,2023-11-19T03:20:00.000Z,2023-11-19T03:29:52.981Z,2023-11-26T09:06:11.575Z,ID,Depok,Krukut Raya
657232416,NONE,3,5,,,11.74,537,111,,,,,,2023-11-26T09:02:11.742Z,2023-11-26T09:06:10.356Z,ID,Jakarta Pusat,Matraman Raya
655688244,NONE,4,5,,,5.28,723,412,,,,,,2023-11-26T07:57:00.815Z,2023-11-26T09:06:10.456Z,ID,Jakarta Selatan,Deplu Raya
652574682,NONE,4,5,,,4.0,807,619,,,,,,2023-11-26T05:30:43.524Z,2023-11-26T09:06:10.839Z,ID,Jakarta Pusat,Jalan Teluk Betung
656466804,LARGE,4,5,,,3.55,898,841,,,,,,2023-11-26T08:30:19.754Z,2023-11-26T09:06:10.789Z,ID,Tangerang Selatan,N6 Flyover Ciputat
90270078,NONE,5,5,,,0.0,8,0,108542179,ROAD_CLOSED_EVENT,Di tutup,2023-10-26T10:03:00.947Z,2023-10-26T10:00:00.000Z,2023-11-24T02:48:32.020Z,2023-11-26T09:06:13.084Z,ID,Jakarta Selatan,
657052520,NONE,2,5,,,9.75,495,109,,,,,,2023-11-26T08:55:35.062Z,2023-11-26T09:06:10.677Z,ID,Jakarta Selatan,Kemang Raya
1729933908,NONE,5,5,,,0.0,95,0,1133280123,ROAD_CLOSED_EVENT,Konstruksi,2023-08-13T11:00:42.317Z,2023-01-04T07:19:00.000Z,2023-11-01T14:32:49.081Z,2023-11-26T09:06:12.741Z,ID,Jakarta Barat,Pintu Besar Selatan
656996188,NONE,1,5,,,21.79,1376,92,,,,,,2023-11-26T08:52:56.692Z,2023-11-26T09:06:10.858Z,ID,Jakarta Timur,Bina Marga
657323980,NONE,3,5,,,5.17,287,116,,,,,,2023-11-26T09:04:51.714Z,2023-11-26T09:06:10.968Z,ID,Jakarta Timur,Jalan RS Polri Said Sukanto
657160714,NONE,1,5,,,20.58,1098,60,,,,,,2023-11-26T08:58:15.073Z,2023-11-26T09:06:12.425Z,ID,Jakarta Selatan,Bintaro Permai
657369698,NONE,1,5,,,20.21,835,64,,,,,,2023-11-26T09:06:10.043Z,2023-11-26T09:06:10.043Z,ID,Depok,Komjen Pol M Jasin
655558604,NONE,2,5,,,20.17,1478,134,,,,,,2023-11-26T07:51:42.509Z,2023-11-26T09:06:11.296Z,ID,Jakarta Selatan,KH. Guru Amin
655555090,SMALL,2,5,Jakarta Barat,Jakarta Barat,24.23,1449,131,,,,,,2023-11-26T07:50:24.775Z,2023-11-26T09:06:13.108Z,ID,Jakarta Barat,Tol Jakarta-Tangerang
656669246,NONE,3,5,,,11.09,717,174,,,,,,2023-11-26T08:39:37.860Z,2023-11-26T09:06:10.399Z,ID,Jakarta Selatan,Arteri Permata Hijau
657244038,NONE,2,5,,,16.3,1982,212,,,,,,2023-11-26T09:02:15.060Z,2023-11-26T09:06:10.351Z,ID,Jakarta Timur,Lapangan Tembak - Cibubur Raya
657247082,NONE,2,5,,,7.27,243,62,,,,,,2023-11-26T09:02:14.873Z,2023-11-26T09:06:13.181Z,ID,Jakarta Pusat,Kalibaru Timur Dalam
1283271796,NONE,5,5,,,0.0,633,0,1823987321,ROAD_CLOSED_EVENT,,2023-10-10T08:26:56.363Z,2023-10-10T08:26:00.000Z,2023-11-17T02:54:00.418Z,2023-11-26T09:06:13.612Z,ID,Jakarta Timur,Akses Tol Jakarta Cikampek
1820936392,NONE,5,5,,,0.0,43,0,115921158,ROAD_CLOSED_EVENT,Perbaikan  ~ Akhir Nov,2023-11-19T03:27:39.312Z,2023-11-19T03:20:00.000Z,2023-11-19T03:29:54.583Z,2023-11-26T09:06:13.441Z,ID,Depok,Krukut Raya
657259420,NONE,1,5,,,19.63,903,70,,,,,,2023-11-26T09:03:32.065Z,2023-11-26T09:06:10.902Z,ID,Tangerang Selatan,Jalan Raya Ciputat-Muncul
655742868,NONE,4,5,,,6.07,275,135,,,,,,2023-11-26T07:58:20.646Z,2023-11-26T09:06:10.300Z,ID,Tangerang Selatan,N6 Dewi Sartika
655989338,NONE,4,5,,,3.54,267,194,,,,,,2023-11-26T08:10:21.960Z,2023-11-26T09:06:11.580Z,ID,Jakarta Pusat,Teluk Betung 1
657077022,NONE,1,5,Jakarta Barat,Jakarta Barat,46.34,5043,139,,,,,,2023-11-26T08:55:34.498Z,2023-11-26T09:06:12.269Z,ID,Jakarta Barat,Tol Jakarta-Tangerang
548695130,NONE,5,5,,,0.0,515,0,1823987913,ROAD_CLOSED_EVENT,,2023-10-10T08:26:56.416Z,2023-10-10T08:26:00.000Z,2023-11-25T02:55:44.178Z,2023-11-26T09:06:17.098Z,ID,Jakarta Timur,Akses Stasiun Zona E
657332846,NONE,1,5,,,23.23,1147,62,,,,,,2023-11-26T09:04:52.793Z,2023-11-26T09:06:12.210Z,ID,Jakarta Timur,Mpok Nori
657263614,NONE,3,5,,,7.61,318,118,,,,,,2023-11-26T09:02:12.795Z,2023-11-26T09:06:11.433Z,ID,Jakarta Selatan,Lauser
657286040,NONE,1,5,,,19.25,1460,98,,,,,,2023-11-26T09:03:31.622Z,2023-11-26T09:06:10.544Z,ID,Bekasi,Hankam Raya
