jam_id,type,level,severity,start_location,end_location,speed_kmh,length_meters,delay_seconds,block_alert_id,block_alert_type,block_alert_description,block_alert_update_datetime_utc,block_start_datetime_utc,timestamp_utc,update_datetime_utc,country,city,street
656369486,NONE,3,5,,,10.97,537,110,,,,,,2023-11-26T08:27:39.932Z,2023-11-26T08:50:15.620Z,ID,Jakarta Pusat,Suryopranoto
656946808,NONE,4,5,,,4.28,186,127,,,,,,2023-11-26T08:50:15.062Z,2023-11-26T08:50:15.062Z,ID,Jakarta Timur,Jenderal Polisi Soekanto
656254770,NONE,4,5,,,7.89,984,377,,,,,,2023-11-26T08:21:02.031Z,2023-11-26T08:50:15.369Z,ID,Jakarta Pusat,Gatot Subroto
656813922,NONE,1,5,Jakarta Selatan,Jakarta Selatan,42.04,2159,82,,,,,,2023-11-26T08:44:58.923Z,2023-11-26T08:50:18.209Z,ID,Jakarta Selatan,Tol Semanggi-Kuningan
655555090,SMALL,2,5,Jakarta Barat,Jakarta Barat,29.59,2172,144,,,,,,2023-11-26T07:50:24.775Z,2023-11-26T08:50:18.212Z,ID,Jakarta Barat,Tol Jakarta-Tangerang
654952254,NONE,3,5,,,5.44,370,171,,,,,,2023-11-26T07:23:35.950Z,2023-11-26T08:50:16.104Z,ID,Jakarta Pusat,Stasiun Senen
656821824,NONE,1,5,,,16.67,912,60,,,,,,2023-11-26T08:44:59.551Z,2023-11-26T08:50:18.712Z,ID,Depok,Kol (Pol) Pranoto
656791382,NONE,2,5,,,17.75,1209,139,,,,,,2023-11-26T08:44:56.202Z,2023-11-26T08:50:15.395Z,ID,Jakarta Barat,Lingkar Luar Barat
656715522,NONE,4,5,,,7.34,347,141,,,,,,2023-11-26T08:42:17.652Z,2023-11-26T08:50:15.946Z,ID,Jakarta Selatan,Hj. Tutty Alawiyah
656196362,NONE,2,5,,,14.33,528,78,,,,,,2023-11-26T08:19:40.812Z,2023-11-26T08:50:15.543Z,ID,Jakarta Selatan,Ampera Raya
652574682,NONE,4,5,,,4.49,858,573,,,,,,2023-11-26T05:30:43.524Z,2023-11-26T08:50:15.552Z,ID,Jakarta Pusat,Jalan Teluk Betung
1820936392,NONE,5,5,,,0.0,43,0,115921158,ROAD_CLOSED_EVENT,Perbaikan  ~ Akhir Nov,2023-11-19T03:27:39.312Z,2023-11-19T03:20:00.000Z,2023-11-19T03:29:54.583Z,2023-11-26T08:50:18.995Z,ID,Depok,Krukut Raya
656878516,NONE,1,5,,,21.07,1540,95,,,,,,2023-11-26T08:48:54.987Z,2023-11-26T08:50:15.413Z,ID,Jakarta Selatan,Mohammad Kahfi 2
656943912,NONE,3,5,,,6.24,240,98,,,,,,2023-11-26T08:50:16.333Z,2023-11-26T08:50:16.333Z,ID,Jakarta Selatan,Kemang Raya
1206238830,NONE,5,5,,,0.0,26,0,1654183422,ROAD_CLOSED_EVENT,,2023-09-01T09:46:26.191Z,2023-09-01T09:46:00.000Z,2023-11-14T21:33:44.958Z,2023-11-26T08:50:15.497Z,ID,Jakarta Pusat,
655688244,NONE,3,5,,,7.38,723,272,,,,,,2023-11-26T07:57:00.815Z,2023-11-26T08:50:15.246Z,ID,Jakarta Selatan,Deplu Raya
655516202,NONE,3,5,,,15.55,669,99,,,,,,2023-11-26T07:49:02.513Z,2023-11-26T08:50:16.378Z,ID,Jakarta Timur,I Gusti Ngurah Rai
549703798,NONE,5,5,,,0.0,210,0,90461108,ROAD_CLOSED_EVENT,Perbaikan ~ 12 Des,2023-11-17T03:44:05.052Z,2023-11-17T03:26:00.000Z,2023-11-25T03:12:11.633Z,2023-11-26T08:50:15.233Z,ID,Bekasi,Pangkalan 1
167700774,NONE,5,5,,,0.0,16,0,1132640055,ROAD_CLOSED_EVENT,Konstruksi ~ 15 Des '23,2023-08-13T10:01:12.346Z,2023-07-28T18:00:00.000Z,2023-11-07T15:48:35.927Z,2023-11-26T08:50:17.107Z,ID,Jakarta Timur,Pondok Ranggon Raya
656815886,NONE,4,5,,,1.78,212,412,,,,,,2023-11-26T08:44:59.762Z,2023-11-26T08:50:18.505Z,ID,Jakarta Selatan,Pedurenan Masjid 1
656542584,NONE,2,5,,,13.88,797,105,,,,,,2023-11-26T08:35:38.922Z,2023-11-26T08:50:15.289Z,ID,Depok,Bukit Cinere
56508146,NONE,5,5,,,0.0,163,0,1132688663,ROAD_CLOSED_EVENT,Konstruksi ~ 15 Des '23,2023-08-13T10:02:17.248Z,2023-07-28T18:00:00.000Z,2023-11-22T08:06:48.163Z,2023-11-26T08:50:19.273Z,ID,Jakarta Timur,Pondok Ranggon Raya
90285434,NONE,5,5,,,0.0,40,0,1309939856,ROAD_CLOSED_EVENT,konstruksi,2023-08-26T11:18:54.025Z,2023-08-26T11:18:00.000Z,2023-11-24T02:48:11.697Z,2023-11-26T08:50:16.125Z,ID,Jakarta Barat,
1820907920,NONE,5,5,,,0.0,80,0,115920384,ROAD_CLOSED_EVENT,Perbaikan  ~ Akhir Nov,2023-11-19T03:27:38.799Z,2023-11-19T03:20:00.000Z,2023-11-19T03:29:52.970Z,2023-11-26T08:50:16.652Z,ID,Depok,Krukut Raya
